,nama,alamat,location,latitude,longitude
98,Pos BIN,"Jl. Seno Raya Rt.02 Rw.04 (milik BIN), Pejaten Timur, Pasar Minggu, Jakarta Selatan","Pejaten Timur, Pasar Minggu, DKI Jakarta",-6.27076999999997,106.84840000000008
99,Pos Cilandak Timur,"Jl. Madrasah No.14 Rt.07 Rw.06(Rumdis Lurah Cilandak Timur), Cilandak Timur, Pasar Minggu, Jakarta Selatan","Jalan Madrasah 14, Pasar Minggu, DKI Jakarta, 12560",-6.279770013075222,106.81580998320868
100,Pos Kebagusan,"Jl. Kebagusan Kecil IV Rt.09 Rw.05, Kebagusan, Pasar Minggu, Jakarta Selatan","Jalan Kebagusan I 9, Pasar Minggu, DKI Jakarta, 12520",-6.300359990587623,106.82683000658955
101,Pos PPOP Ragunan (Rencana Pembangunan 2021),"Kawasan PPOP Ragunan (Unit Caravan), PPOP Ragunan, Pasar Minggu, Jakarta Selatan","Ragunan, Pasar Minggu, DKI Jakarta",-6.300869999999975,106.82124000000005
102,Pos Ciganjur,"Jl. Brigif (Milik Korsik), Ciganjur, Jagakarsa, Jakarta Selatan","Jalan Brigif, Jagakarsa, DKI Jakarta, 12630",-6.344257537288646,106.80292158434217
103,Pos Srengseng Sawah,"Jl. Srengseng Sawah, Srengseng Sawah, Jagakarsa, Jakarta Selatan","Jalan Srengseng Sawah, Jagakarsa, DKI Jakarta, 12640",-6.358323541600975,106.81280332415842
104,Pos Utan Kayu,"Jl. Pengayoman, Utan Kayu Utara, Matraman, Jakarta Timur","Jalan Pengayoman, Matraman, DKI Jakarta, 13130",-6.194110161373115,106.86905496063837
105,Jl. Pos pulo mas,"Jl. P. Mas Barat, Kayu Putih, Pulogadung, Jakarta Timur","Kayu Putih, Pulogadung, DKI Jakarta",-6.17790999999994,106.88272000000006
106,Pos Cipinang,"Jl. Ps. Induk Cipinang, Pisangan Timur, Pulogadung, Jakarta Timur","Pisangan Timur, Pulogadung, DKI Jakarta",-6.21037999999993,106.87870000000004
107,Pos Gudang Arsip,"Jl. Perintis Kemerdekaan, Kayu Putih, Pulogadung, Jakarta Timur","Jalan Perintis Kemerdekaan, Pulogadung, DKI Jakarta, 13210",-6.170885839036164,106.88705064865589
108,Pos Walikota,"Jl. Sentra Primer, Pulo Gebang, Cakung, Jakarta Timur",Pulo Gebang,-6.207949999999926,106.95349000000004
109,Pos Penggilingan,"Jl. Raya Penggilingan, Penggilingan, Cakung, Jakarta Timur","Jalan Raya Penggilingan, Cakung, DKI Jakarta, 13940",-6.201865238416794,106.93515573525147
110,Pos cakung,"Jl. Raya Bekasi KM 23, Cakung Timur, Cakung, Jakarta Timur","Jalan Bekasi Raya 23, Cakung, DKI Jakarta, 13910",-6.185200017031846,106.94598001751393
111,Pos Terminal Pulo Gebang,"Jl. Stasiun Cakung, Pulo Gebang, Cakung, Jakarta Timur","Jalan Stasiun Cakung, Cakung, DKI Jakarta, 13950",-6.218813732623422,106.9520549734443
112,Pos JIEP (Kawasan Industri Pulo Gadung),"Jl. Pulo Lentut, Rawa Terate, Cakung, Jakarta Timur","Jalan Pulo Lentut, Cakung, DKI Jakarta, 13920",-6.189360363037681,106.90820375971747
113,Pos Jatinegara,"Jl.D.I Panjaitan, Cipinang Cimpedak, Jatinegara, Jakarta Timur","Jalan D I Panjaitan, Jatinegara, DKI Jakarta, 13340",-6.233433289953482,106.87623191667839
114,Pos  Pondok Kelapa ,"Jl. Pondok Kelapa Raya, Pondok Kelapa, Duren Sawit, Jakarta Timur","Jalan Pondok Kelapa Raya, Duren Sawit, DKI Jakarta, 13450",-6.241104248010672,106.93434685400804
115,Pos Pondok Bambu,"Jl. Balai Rakyat, Pondok Bambu, Duren Sawit, Jakarta Timur","Jalan Balai Rakyat, Duren Sawit, DKI Jakarta, 13430",-6.223712884625928,106.90369587795195
116,Pos Duren Sawit,"Jl. Swadaya (Pos), Duren Sawit, Duren Sawit, Jakarta Timur","Jalan Swadaya, Duren Sawit, DKI Jakarta, 13440",-6.240779955983527,106.91813508370802
117,Pos  Pondok Kopi,"Jl. Raya Pondok Kopi, Pondok Kopi, Duren Sawit, Jakarta Timur","Jalan Pondok Kopi Raya, Duren Sawit, DKI Jakarta, 13460",-6.2215600081613855,106.94170304910588
118,Pos Klender,"Jl. Wijaya Kusuma, Klender, Duren Sawit, Jakarta Timur","Jalan Wijaya Kusuma, Duren Sawit, DKI Jakarta, 13430",-6.228898397818142,106.90486112622831
119,Pos Batu Ampar,"Jl. Batu Ampar, Batu Ampar, Kramat Jati, Jakarta Timur","Jalan Batu Ampar, Kramatjati, DKI Jakarta, 13520",-6.277853061342564,106.86512641430856
120,Pos PGC,"Pusat Grosir Cililtan, Cililitan, Kramat Jati, Jakarta Timur",Pusat Grosir Cililitan,-6.26228999999995,106.86542000000009
121,Pos Kramat Jati,"Jl. Kerja Bakti, Kramat Jati, Kramat Jati, Jakarta Timur","Jalan Kerja Bakti, Kramatjati, DKI Jakarta, 13510",-6.277007445305056,106.87261550587972
122,Pos Pusdiklat,"Jl. Raya Ciracas, Ciracas, Ciracas, Jakarta Timur","Jalan Raya Ciracas, Ciracas, DKI Jakarta, 13740",-6.322293787559396,106.88365009002558
123,Pos BLK,"Jl. Raya Bogor Km 23, Susukan, Ciracas, Jakarta Timur","Jalan Raya Bogor 23, Ciracas, DKI Jakarta, 13750",-6.322269992121619,106.86500002018408
124,Pos Komseko,"Jl. Raya Bogor, Rambutan, Ciracas, Jakarta Timur","Jalan Raya Bogor, Ciracas, DKI Jakarta, 13750",-6.291982046517219,106.87275017344591
125,Pos Cipayung,"Jl. Raya Hankam, Cipayung, Cipayung, Jakarta Timur","Jalan Raya Hankam, Cipayung, DKI Jakarta, 13850",-6.3502153620866215,106.89632529728419
126,Pos TMII,"Jl. Komplek TMII Kel. Ceger Kec.Cipayung, Ceger, Cipayung, Jakarta Timur","Ceger Kel., Cipayung, DKI Jakarta",-6.306319999999971,106.89034000000004
127,Pos Lubang Buaya,"Jl. SMA, Lubang Buaya, Cipayung, Jakarta Timur","Lubang Buaya, Cipayung, DKI Jakarta",-6.294089999999926,106.90446000000009
128,Pos Pekayon,"Jl. Raya Lapan Kel. Kalisari, Kalisari, Pasar Rebo, Jakarta Timur","Kalisari Kel., Pasar Rebo, DKI Jakarta",-6.338329999999928,106.85923000000008
