,tanggal,jenis_kejadian_bencana,alamat,location,latitude,longitude
7624,2020-03-06,Kebakaran,"Jl. Kemang Utara IX, Bangka, Mampang Prapatan,  Kota Administrasi Jakarta Selatan","Jalan Kemang Utara IX, Mampang Prapatan, DKI Jakarta, 12730",-6.256272256425885,106.8243754571023
7625,2020-03-06,Kebakaran,"Jl. Cakung Cilincing No.10, Semper Timur, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Cakung Cilincing Cacing 10, Cilincing, DKI Jakarta, 14130",-6.112499998934794,106.92435001345552
7628,2020-03-06,Kebakaran,"Jl. Ciledug Raya Gg. H. Ridin III No.54, Petukangan Utara, Pesanggrahan,  Kota Administrasi Jakarta Selatan","Jalan Ciledug Raya, Pesanggrahan, DKI Jakarta, 12340",-6.235706186884655,106.75573901722417
7634,2020-03-06,Kebakaran,"Restoran Talaga, Jl. Lapangan Golf No.7, Ancol, Pademangan,  Kota Administrasi Jakarta Utara","Ancol, Pademangan, DKI Jakarta",-6.130109999999945,106.81657000000007
7636,2020-03-06,Kebakaran,"Jl. Arteri Gading Pelangi, Pegangsaan Dua, Kelapa Gading,  Kota Administrasi Jakarta Utara","Jalan Arteri Kelapa Gading, Kelapa Gading, DKI Jakarta, 14250",-6.1705103087000746,106.91509691881747
7639,2020-03-06,Kebakaran,"Perumahan Taman Bona Indah, Jl. Bona Permai III Blok BG No.18, Lebak Bulus, Cilandak,  Kota Administrasi Jakarta Selatan","Jalan Bona Permai 3, Cilandak, DKI Jakarta, 12440",-6.300866531609512,106.78383801754767
7649,2020-03-07,Kebakaran,"Jl. Sapta Taruna Raya No. 25, Pondok Pinang, Kebayoran Lama,  Kota Administrasi Jakarta Selatan","Jalan Sapta Taruna I 25, Kebayoran Lama, DKI Jakarta, 12230",-6.287650007888516,106.7726000150538
7654,2020-03-07,Kebakaran,"Jl. Kalibaru Barat VIII, Kalibaru, Cilincing,  Kota Administrasi Jakarta Utara","Jalan Kali Baru Barat VIII, Cilincing, DKI Jakarta, 14110",-6.103286221990477,106.92166064201763
7661,2020-03-07,Kebakaran,"Jl. Bendungan Udik, Karet semanggi, Setiabudi,  Kota Administrasi Jakarta Selatan","Karet Semanggi, Setiabudi, DKI Jakarta",-6.221509999999967,106.81783000000007
7665,2020-03-08,Kebakaran,"Jl. Tol Plut Ancol KM 25, Pluit, Penjaringan,  Kota Administrasi Jakarta Utara","25, Penjaringan, DKI Jakarta, 14440",-6.132178766412752,106.79104410436206
